,INSTNM,CITY,STABBR,ZIP,ACCREDAGENCY,NUMBRANCH,PREDDEG,HIGHDEG,CONTROL,REGION,CCBASIC,CCUGPROF,CCSIZSET,RELAFFIL,ADM_RATE,SATVR25,SATVR75,SATVRMID,SATMT25,SATMT75,SATMTMID,SATWR25,SATWR75,SATWRMID,ACTCM25,ACTEN25,ACTMT25,ACTWR25,ACTCM75,ACTEN75,ACTMT75,ACTWR75,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG_ALL,PCIP11,PCIP14,PCIP15,PCIP26,PCIP27,PCIP40,PCIP41,CIP11BACHL,CIP14BACHL,CIP15BACHL,CIP26BACHL,CIP27BACHL,CIP40BACHL,CIP41BACHL,UGDS,COSTT4_A,COSTT4_P,TUITIONFEE_IN,TUITIONFEE_OUT,AVGFACSAL,PFTFAC,C150_4,C150_L4,C150_4_POOLED,C150_L4_POOLED,C150_4_WHITE,C150_4_BLACK,C150_4_HISP,C150_4_ASIAN,DEP_INC_AVG,IND_INC_AVG,FEMALE_DEBT_MDN,MALE_DEBT_MDN,FEMALE_RPY_3YR_N,MALE_RPY_3YR_N,MALE_RPY_5YR_N,FEMALE_RPY_5YR_N,MALE_RPY_7YR_N,FEMALE_RPY_7YR_N,FEMALE,UGDS_MEN,UGDS_WOMEN
4021,Milwaukee Area Technical College,Milwaukee,WI,53233-1443,North Central Association of Colleges and Schools The Higher Learning Commission,1,1,2,1,3,7.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0427,0.0,0.0322,0.0,0.0,0.0,0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13551.0,13968.0,,4360.0,6286.0,10405.0,0.457,,0.1297,,0.1253,,,,,40916.394223,17416.859885,6750,5500,6105,4643,3359,4761,2207,4105,0.5625697631,0.4373,0.5627
4022,Milwaukee Institute of Art & Design,Milwaukee,WI,53202-6003,North Central Association of Colleges and Schools The Higher Learning Commission,1,3,3,2,3,30.0,11.0,7.0,,0.6199,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,624.0,43199.0,,33560.0,33560.0,5738.0,0.3458,0.5479999999999999,,0.5455,,0.6231,0.4444,0.3913,0.1667,75016.067308,18254.147059,21750,21434,219,165,162,189,147,163,0.6271676301,0.3478,0.6522
4023,Milwaukee School of Engineering,Milwaukee,WI,53202-3109,North Central Association of Colleges and Schools The Higher Learning Commission,1,3,4,2,3,20.0,15.0,10.0,,0.6496,580.0,670.0,625.0,610.0,730.0,670.0,,,,25.0,23.0,26.0,,30.0,29.0,30.0,,28.0,26.0,28.0,,1248.0,0.0,0.6941,0.0365,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2668.0,46504.0,,36540.0,36540.0,8653.0,0.5095,0.6388,,0.5969,,0.6608,0.1538,0.5909,0.5455,88629.893855,23092.468531,26991,25175,217,951,855,199,713,210,0.2658959538,0.7455,0.2545
4024,Moraine Park Technical College,Fond du Lac,WI,54936-1940,North Central Association of Colleges and Schools The Higher Learning Commission,1,1,2,1,3,3.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0349,0.0,0.0491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3457.0,13874.0,,4322.0,6295.0,7651.0,,,0.4558,,0.398,,,,,60521.664966,30047.294772,7000,5250,1173,602,410,897,278,725,0.6946872898,0.3457,0.6543
4025,Mount Mary University,Milwaukee,WI,53222-4597,North Central Association of Colleges and Schools The Higher Learning Commission,1,3,4,2,3,20.0,11.0,9.0,30.0,0.5262,345.0,453.0,399.0,318.0,425.0,372.0,410.0,453.0,432.0,17.0,16.0,16.0,,21.0,22.0,20.0,,19.0,19.0,18.0,,902.0,0.0,0.0,0.0,0.0,0.0,0.0072,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,735.0,36991.0,,26760.0,26760.0,6027.0,0.9444,0.4331,,0.4653,,0.5,0.3333,0.5,0.5455,58114.307692,23629.207143,PrivacySuppressed,PrivacySuppressed,772,11,15,674,16,661,PrivacySuppressed,0.0,1.0
4026,Nashotah House,Nashotah,WI,53058-9793,Commission on Accrediting of the Association of Theological Schools,1,4,4,2,3,24.0,0.0,18.0,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,4605.0,1.0,,,,,,,,,,,PrivacySuppressed,PrivacySuppressed,,,,,,,,,
4027,Nicolet Area Technical College,Rhinelander,WI,54501-0518,North Central Association of Colleges and Schools The Higher Learning Commission,1,1,2,1,3,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0654,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,892.0,13234.0,,4532.0,6798.0,6206.0,0.2847,,0.32299999999999995,,0.3111,,,,,41308.48415,19253.799353,4500,4500,395,269,185,346,133,218,0.5655487805,0.3767,0.6233
4028,Northcentral Technical College,Wausau,WI,54401-1899,North Central Association of Colleges and Schools The Higher Learning Commission,1,1,2,1,3,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0759,0.0,0.0284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3803.0,14557.0,,4230.0,6156.0,7689.0,1.0,,0.3453,,0.3043,,,,,47523.965578,23597.224681,5000,5000,1227,847,637,931,401,673,0.6211890244,0.3981,0.6019
4029,Northeast Wisconsin Technical College,Green Bay,WI,54307-9042,North Central Association of Colleges and Schools The Higher Learning Commission,1,1,2,1,3,3.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,0.043,0.0,0.052000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6516.0,13910.0,,4280.0,6206.0,8783.0,1.0,,0.4153,,0.4197,,,,,52919.608909,22978.229717,8500,5773,2523,2049,1360,1947,996,1440,0.5784199487,0.4013,0.5987
4030,Northland College,Ashland,WI,54806-3999,North Central Association of Colleges and Schools The Higher Learning Commission,1,3,3,2,3,21.0,13.0,8.0,76.0,0.5716,490.0,570.0,530.0,490.0,535.0,513.0,485.0,585.0,535.0,21.0,20.0,19.0,,28.0,27.0,26.0,,25.0,24.0,23.0,,1118.0,0.0,0.0,0.0,0.1694,0.0484,0.0968,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,518.0,42662.0,,32754.0,32754.0,6407.0,0.873,0.5821,,0.5206,,0.6293,,0.5,0.3333,75794.238267,16661.588235,20725,19000,177,154,157,187,136,194,0.4951768489,0.5154,0.4846
